型号,口径,价格,物料代码,分类,必要说明,库存状态,参考编号,英文描述,材质,规格,数量,TIS项目,来源文件,文档名,表格标题,表格序号
DP27 Pilot Filter/CAP Gasket 3pcs each / (DP27 导阀过滤器/阀盖垫圈 每种3件),"1/2""- 2""","1,034",4700180,减压阀,,,,,,,,"15,17",减压阀/DP27备件.md,DP27备件,备件价格清单 (Spare Parts Price List),1
"DP27 Pilot Seat ASSY / (DP27 导阀阀座总成 1/2""- 2办)","1/2""- 2""","1,767",4700085,减压阀,,,,,,,,11,减压阀/DP27备件.md,DP27备件,备件价格清单 (Spare Parts Price List),1
LRV2S GREY (灰色),"1/2""","8,707",0014360,减压阀,,N,,,,,,,减压阀/LRV2S.md,LRV2S,LRV2S - screwed BSP (螺紋連接),1
LRV2S GREEN (綠色),"1/2""","8,707",0014460,减压阀,,Y,,,,,,,减压阀/LRV2S.md,LRV2S,LRV2S - screwed BSP (螺紋連接),1
LRV2S ORG (橙色),"1/2""","8,707",0014560,减压阀,,Y,,,,,,,减压阀/LRV2S.md,LRV2S,LRV2S - screwed BSP (螺紋連接),1
LRV2S GREY (灰色),"3/4""","8,748",0015360,减压阀,,N,,,,,,,减压阀/LRV2S.md,LRV2S,LRV2S - screwed BSP (螺紋連接),1
LRV2S GREEN (綠色),"3/4""","8,748",0015460,减压阀,,Y,,,,,,,减压阀/LRV2S.md,LRV2S,LRV2S - screwed BSP (螺紋連接),1
LRV2S ORG (橙色),"3/4""","8,748",0015560,减压阀,,Y,,,,,,,减压阀/LRV2S.md,LRV2S,LRV2S - screwed BSP (螺紋連接),1
LRV2S GREY (灰色),"1""","8,993",0016360,减压阀,,Y,,,,,,,减压阀/LRV2S.md,LRV2S,LRV2S - screwed BSP (螺紋連接),1
LRV2S GREEN (綠色),"1""","8,993",0016460,减压阀,,Y,,,,,,,减压阀/LRV2S.md,LRV2S,LRV2S - screwed BSP (螺紋連接),1
LRV2S ORG (橙色),"1""","8,993",0016560,减压阀,,Y,,,,,,,减压阀/LRV2S.md,LRV2S,LRV2S - screwed BSP (螺紋連接),1
,,"1,896",027K900003,压力表,"Technical information sheet TI-P027-01 / 技术资料表 TI-P027-01, Note / 备注: Also available with NPT connection. / 亦可提供 NPT 连接方式。",N,,,,-0.1 - 0.5 MPa,,,压力表/压力表.md,压力表,Pressure gauge c/w Ring or U syphon and gauge cock - BSP / 压力表带圈形或U形虹吸管及表阀 - BSP,1
,,"1,896",027K900003,压力表,"Technical information sheet TI-P027-01 / 技术资料表 TI-P027-01, Note / 备注: Also available with NPT connection. / 亦可提供 NPT 连接方式。",N,,,,0 - 0.4 MPa,,,压力表/压力表.md,压力表,Pressure gauge c/w Ring or U syphon and gauge cock - BSP / 压力表带圈形或U形虹吸管及表阀 - BSP,1
,,"1,896",027K900003,压力表,"Technical information sheet TI-P027-01 / 技术资料表 TI-P027-01, Note / 备注: Also available with NPT connection. / 亦可提供 NPT 连接方式。",N,,,,0 - 0.6 MPa,,,压力表/压力表.md,压力表,Pressure gauge c/w Ring or U syphon and gauge cock - BSP / 压力表带圈形或U形虹吸管及表阀 - BSP,1
,,"1,896",027K900003,压力表,"Technical information sheet TI-P027-01 / 技术资料表 TI-P027-01, Note / 备注: Also available with NPT connection. / 亦可提供 NPT 连接方式。",N,,,,0 - 1.0 MPa,,,压力表/压力表.md,压力表,Pressure gauge c/w Ring or U syphon and gauge cock - BSP / 压力表带圈形或U形虹吸管及表阀 - BSP,1
,,"1,896",027K900003,压力表,"Technical information sheet TI-P027-01 / 技术资料表 TI-P027-01, Note / 备注: Also available with NPT connection. / 亦可提供 NPT 连接方式。",N,,,,0 - 1.6 MPa,,,压力表/压力表.md,压力表,Pressure gauge c/w Ring or U syphon and gauge cock - BSP / 压力表带圈形或U形虹吸管及表阀 - BSP,1
,,"1,896",027K900003,压力表,"Technical information sheet TI-P027-01 / 技术资料表 TI-P027-01, Note / 备注: Also available with NPT connection. / 亦可提供 NPT 连接方式。",N,,,,0 - 2.5 MPa,,,压力表/压力表.md,压力表,Pressure gauge c/w Ring or U syphon and gauge cock - BSP / 压力表带圈形或U形虹吸管及表阀 - BSP,1
,,"1,896",027K900003,压力表,"Technical information sheet TI-P027-01 / 技术资料表 TI-P027-01, Note / 备注: Also available with NPT connection. / 亦可提供 NPT 连接方式。",N,,,,0 - 4.0 MPa,,,压力表/压力表.md,压力表,Pressure gauge c/w Ring or U syphon and gauge cock - BSP / 压力表带圈形或U形虹吸管及表阀 - BSP,1
CA14,"1/2""","2,617",1488000,压缩空气,"備註：, 可提供 NPT 連接和 PN16 法蘭連接 / Also available with NPT connection and PN16 Flanged connection., 可提供不鏽鋼閥芯 (CA14S) / Also available with stainless steel valve cone (CA14S).",Y,,,,,,,压缩空气/CA14 和 Arodyn.md,CA14 和 Arodyn,"1/2"" & 3/4"" CA14",1
CA14,"3/4""","2,630",1488100,压缩空气,"備註：, 可提供 NPT 連接和 PN16 法蘭連接 / Also available with NPT connection and PN16 Flanged connection., 可提供不鏽鋼閥芯 (CA14S) / Also available with stainless steel valve cone (CA14S).",Y,,,,,,,压缩空气/CA14 和 Arodyn.md,CA14 和 Arodyn,"1/2"" & 3/4"" CA14",1
Airodyn,"1/2""","2,350",6100600,压缩空气,"備註：, 可提供 NPT 連接 / Also available with NPT connection.",Y,,,,,,,压缩空气/CA14 和 Arodyn.md,CA14 和 Arodyn,Arodyn - 螺紋 BSP / Airodyn - screwed BSP,2
SV615 AS,"1/2"" x 3/4""","6,024",tba,安全阀,"技術資料表參考 (See technical information sheet): TI-P316-01, 型號說明: AS - Closed bonnet/easing lever with stainless steel seat (封閉式閥蓋/帶扳手, 不銹鋼閥座), 備註: 可提供 NPT 連接方式 (Also available with NPT connection.)",tba,,,,,,,安全阀/安全阀.md,安全阀,1. SV615 - screwed BSP 系列,1
SV615 AS,"3/4"" x 1 1/4""","6,206",tba,安全阀,"技術資料表參考 (See technical information sheet): TI-P316-01, 型號說明: AS - Closed bonnet/easing lever with stainless steel seat (封閉式閥蓋/帶扳手, 不銹鋼閥座), 備註: 可提供 NPT 連接方式 (Also available with NPT connection.)",tba,,,,,,,安全阀/安全阀.md,安全阀,1. SV615 - screwed BSP 系列,1
SV615 AS,"1"" x 1 1/2""","7,598",tba,安全阀,"技術資料表參考 (See technical information sheet): TI-P316-01, 型號說明: AS - Closed bonnet/easing lever with stainless steel seat (封閉式閥蓋/帶扳手, 不銹鋼閥座), 備註: 可提供 NPT 連接方式 (Also available with NPT connection.)",tba,,,,,,,安全阀/安全阀.md,安全阀,1. SV615 - screwed BSP 系列,1
SV615 AS,"1 1/4"" x 2""","10,149",tba,安全阀,"技術資料表參考 (See technical information sheet): TI-P316-01, 型號說明: AS - Closed bonnet/easing lever with stainless steel seat (封閉式閥蓋/帶扳手, 不銹鋼閥座), 備註: 可提供 NPT 連接方式 (Also available with NPT connection.)",tba,,,,,,,安全阀/安全阀.md,安全阀,1. SV615 - screwed BSP 系列,1
SV615 AS,"1 1/2"" x 2 1/2""","12,946",tba,安全阀,"技術資料表參考 (See technical information sheet): TI-P316-01, 型號說明: AS - Closed bonnet/easing lever with stainless steel seat (封閉式閥蓋/帶扳手, 不銹鋼閥座), 備註: 可提供 NPT 連接方式 (Also available with NPT connection.)",tba,,,,,,,安全阀/安全阀.md,安全阀,1. SV615 - screwed BSP 系列,1
SV615 AS,"2"" x 3""","17,415",tba,安全阀,"技術資料表參考 (See technical information sheet): TI-P316-01, 型號說明: AS - Closed bonnet/easing lever with stainless steel seat (封閉式閥蓋/帶扳手, 不銹鋼閥座), 備註: 可提供 NPT 連接方式 (Also available with NPT connection.)",tba,,,,,,,安全阀/安全阀.md,安全阀,1. SV615 - screwed BSP 系列,1
SV607 DS,DN20/DN32,"9,101",tba,安全阀,"技術資料表參考 (See technical information sheet): TI-S13-27, 型號說明: DS - Open bonnet/easing lever with stainless steel seat (開放式閥蓋/帶扳手, 不銹鋼閥座), 重要備註:, 以上尺寸表示每個閥門的入口和出口尺寸 (Above sizes indicate inlet and outlet size for each valve.), 可提供入口法蘭為 PN16 (DN65 至 DN100) 的規格 (Also available with inlet flanged PN16 (DN65 to DN100).), 可提供碳鋼閥體的 SV604 型號 (Also available with SV604 with carbon steel body.)",tba,,,,,,,安全阀/安全阀.md,安全阀,"2. SV607 - flanged PN25 inlet, PN16 outlet 系列",2
SV607 DS,DN25/DN40,"9,514",tba,安全阀,"技術資料表參考 (See technical information sheet): TI-S13-27, 型號說明: DS - Open bonnet/easing lever with stainless steel seat (開放式閥蓋/帶扳手, 不銹鋼閥座), 重要備註:, 以上尺寸表示每個閥門的入口和出口尺寸 (Above sizes indicate inlet and outlet size for each valve.), 可提供入口法蘭為 PN16 (DN65 至 DN100) 的規格 (Also available with inlet flanged PN16 (DN65 to DN100).), 可提供碳鋼閥體的 SV604 型號 (Also available with SV604 with carbon steel body.)",tba,,,,,,,安全阀/安全阀.md,安全阀,"2. SV607 - flanged PN25 inlet, PN16 outlet 系列",2
SV607 DS,DN32/DN50,"12,435",tba,安全阀,"技術資料表參考 (See technical information sheet): TI-S13-27, 型號說明: DS - Open bonnet/easing lever with stainless steel seat (開放式閥蓋/帶扳手, 不銹鋼閥座), 重要備註:, 以上尺寸表示每個閥門的入口和出口尺寸 (Above sizes indicate inlet and outlet size for each valve.), 可提供入口法蘭為 PN16 (DN65 至 DN100) 的規格 (Also available with inlet flanged PN16 (DN65 to DN100).), 可提供碳鋼閥體的 SV604 型號 (Also available with SV604 with carbon steel body.)",tba,,,,,,,安全阀/安全阀.md,安全阀,"2. SV607 - flanged PN25 inlet, PN16 outlet 系列",2
SV607 DS,DN40/DN65,"13,531",tba,安全阀,"技術資料表參考 (See technical information sheet): TI-S13-27, 型號說明: DS - Open bonnet/easing lever with stainless steel seat (開放式閥蓋/帶扳手, 不銹鋼閥座), 重要備註:, 以上尺寸表示每個閥門的入口和出口尺寸 (Above sizes indicate inlet and outlet size for each valve.), 可提供入口法蘭為 PN16 (DN65 至 DN100) 的規格 (Also available with inlet flanged PN16 (DN65 to DN100).), 可提供碳鋼閥體的 SV604 型號 (Also available with SV604 with carbon steel body.)",tba,,,,,,,安全阀/安全阀.md,安全阀,"2. SV607 - flanged PN25 inlet, PN16 outlet 系列",2
SV607 DS,DN50/DN80,"14,864",tba,安全阀,"技術資料表參考 (See technical information sheet): TI-S13-27, 型號說明: DS - Open bonnet/easing lever with stainless steel seat (開放式閥蓋/帶扳手, 不銹鋼閥座), 重要備註:, 以上尺寸表示每個閥門的入口和出口尺寸 (Above sizes indicate inlet and outlet size for each valve.), 可提供入口法蘭為 PN16 (DN65 至 DN100) 的規格 (Also available with inlet flanged PN16 (DN65 to DN100).), 可提供碳鋼閥體的 SV604 型號 (Also available with SV604 with carbon steel body.)",tba,,,,,,,安全阀/安全阀.md,安全阀,"2. SV607 - flanged PN25 inlet, PN16 outlet 系列",2
SV607 DS,DN65/DN100,"21,690",tba,安全阀,"技術資料表參考 (See technical information sheet): TI-S13-27, 型號說明: DS - Open bonnet/easing lever with stainless steel seat (開放式閥蓋/帶扳手, 不銹鋼閥座), 重要備註:, 以上尺寸表示每個閥門的入口和出口尺寸 (Above sizes indicate inlet and outlet size for each valve.), 可提供入口法蘭為 PN16 (DN65 至 DN100) 的規格 (Also available with inlet flanged PN16 (DN65 to DN100).), 可提供碳鋼閥體的 SV604 型號 (Also available with SV604 with carbon steel body.)",tba,,,,,,,安全阀/安全阀.md,安全阀,"2. SV607 - flanged PN25 inlet, PN16 outlet 系列",2
SV607 DS,DN80/DN125,"25,791",tba,安全阀,"技術資料表參考 (See technical information sheet): TI-S13-27, 型號說明: DS - Open bonnet/easing lever with stainless steel seat (開放式閥蓋/帶扳手, 不銹鋼閥座), 重要備註:, 以上尺寸表示每個閥門的入口和出口尺寸 (Above sizes indicate inlet and outlet size for each valve.), 可提供入口法蘭為 PN16 (DN65 至 DN100) 的規格 (Also available with inlet flanged PN16 (DN65 to DN100).), 可提供碳鋼閥體的 SV604 型號 (Also available with SV604 with carbon steel body.)",tba,,,,,,,安全阀/安全阀.md,安全阀,"2. SV607 - flanged PN25 inlet, PN16 outlet 系列",2
SV607 DS,DN100/DN150,"37,095",tba,安全阀,"技術資料表參考 (See technical information sheet): TI-S13-27, 型號說明: DS - Open bonnet/easing lever with stainless steel seat (開放式閥蓋/帶扳手, 不銹鋼閥座), 重要備註:, 以上尺寸表示每個閥門的入口和出口尺寸 (Above sizes indicate inlet and outlet size for each valve.), 可提供入口法蘭為 PN16 (DN65 至 DN100) 的規格 (Also available with inlet flanged PN16 (DN65 to DN100).), 可提供碳鋼閥體的 SV604 型號 (Also available with SV604 with carbon steel body.)",tba,,,,,,,安全阀/安全阀.md,安全阀,"2. SV607 - flanged PN25 inlet, PN16 outlet 系列",2
SV607 DS,DN125/DN200,"89,525",tba,安全阀,"技術資料表參考 (See technical information sheet): TI-S13-27, 型號說明: DS - Open bonnet/easing lever with stainless steel seat (開放式閥蓋/帶扳手, 不銹鋼閥座), 重要備註:, 以上尺寸表示每個閥門的入口和出口尺寸 (Above sizes indicate inlet and outlet size for each valve.), 可提供入口法蘭為 PN16 (DN65 至 DN100) 的規格 (Also available with inlet flanged PN16 (DN65 to DN100).), 可提供碳鋼閥體的 SV604 型號 (Also available with SV604 with carbon steel body.)",tba,,,,,,,安全阀/安全阀.md,安全阀,"2. SV607 - flanged PN25 inlet, PN16 outlet 系列",2
SV607 DS,DN150/DN250,"114,653",tba,安全阀,"技術資料表參考 (See technical information sheet): TI-S13-27, 型號說明: DS - Open bonnet/easing lever with stainless steel seat (開放式閥蓋/帶扳手, 不銹鋼閥座), 重要備註:, 以上尺寸表示每個閥門的入口和出口尺寸 (Above sizes indicate inlet and outlet size for each valve.), 可提供入口法蘭為 PN16 (DN65 至 DN100) 的規格 (Also available with inlet flanged PN16 (DN65 to DN100).), 可提供碳鋼閥體的 SV604 型號 (Also available with SV604 with carbon steel body.)",tba,,,,,,,安全阀/安全阀.md,安全阀,"2. SV607 - flanged PN25 inlet, PN16 outlet 系列",2
BSA2T PN16,DN15,"1,823",11841300,截止阀,注： BSA2-BD 是带有平衡阀芯的双层波纹管截止阀 ( BSA2-BD is twin ply bellows valve with balanced plug),Y,,,,,,,截止阀/BSA2T.md,BSA2T,BSA2T - 法兰 PN16 (BSA2T - flanged PN16),1
BSA2T PN16,DN20,"1,872",11841400,截止阀,注： BSA2-BD 是带有平衡阀芯的双层波纹管截止阀 ( BSA2-BD is twin ply bellows valve with balanced plug),Y,,,,,,,截止阀/BSA2T.md,BSA2T,BSA2T - 法兰 PN16 (BSA2T - flanged PN16),1
BSA2T PN16,DN25,"2,142",11841500,截止阀,注： BSA2-BD 是带有平衡阀芯的双层波纹管截止阀 ( BSA2-BD is twin ply bellows valve with balanced plug),Y,,,,,,,截止阀/BSA2T.md,BSA2T,BSA2T - 法兰 PN16 (BSA2T - flanged PN16),1
BSA2T PN16,DN32,"2,519",11841600,截止阀,注： BSA2-BD 是带有平衡阀芯的双层波纹管截止阀 ( BSA2-BD is twin ply bellows valve with balanced plug),Y,,,,,,,截止阀/BSA2T.md,BSA2T,BSA2T - 法兰 PN16 (BSA2T - flanged PN16),1
BSA2T PN16,DN40,"3,006",11841700,截止阀,注： BSA2-BD 是带有平衡阀芯的双层波纹管截止阀 ( BSA2-BD is twin ply bellows valve with balanced plug),Y,,,,,,,截止阀/BSA2T.md,BSA2T,BSA2T - 法兰 PN16 (BSA2T - flanged PN16),1
BSA2T PN16,DN50,"3,142",11841800,截止阀,注： BSA2-BD 是带有平衡阀芯的双层波纹管截止阀 ( BSA2-BD is twin ply bellows valve with balanced plug),Y,,,,,,,截止阀/BSA2T.md,BSA2T,BSA2T - 法兰 PN16 (BSA2T - flanged PN16),1
BSA2T PN16,DN65,"3,678",11841900,截止阀,注： BSA2-BD 是带有平衡阀芯的双层波纹管截止阀 ( BSA2-BD is twin ply bellows valve with balanced plug),Y,,,,,,,截止阀/BSA2T.md,BSA2T,BSA2T - 法兰 PN16 (BSA2T - flanged PN16),1
BSA2T PN16,DN80,"4,900",11842000,截止阀,注： BSA2-BD 是带有平衡阀芯的双层波纹管截止阀 ( BSA2-BD is twin ply bellows valve with balanced plug),Y,,,,,,,截止阀/BSA2T.md,BSA2T,BSA2T - 法兰 PN16 (BSA2T - flanged PN16),1
BSA2T PN16,DN100,"6,890",11842100,截止阀,注： BSA2-BD 是带有平衡阀芯的双层波纹管截止阀 ( BSA2-BD is twin ply bellows valve with balanced plug),Y,,,,,,,截止阀/BSA2T.md,BSA2T,BSA2T - 法兰 PN16 (BSA2T - flanged PN16),1
BSA2T PN16,DN125,"12,360",11842200,截止阀,注： BSA2-BD 是带有平衡阀芯的双层波纹管截止阀 ( BSA2-BD is twin ply bellows valve with balanced plug),Y,,,,,,,截止阀/BSA2T.md,BSA2T,BSA2T - 法兰 PN16 (BSA2T - flanged PN16),1
BSA2T PN16,DN150,"15,606",11842300,截止阀,注： BSA2-BD 是带有平衡阀芯的双层波纹管截止阀 ( BSA2-BD is twin ply bellows valve with balanced plug),Y,,,,,,,截止阀/BSA2T.md,BSA2T,BSA2T - 法兰 PN16 (BSA2T - flanged PN16),1
BSA2T PN16,DN200,"35,864",11842400,截止阀,注： BSA2-BD 是带有平衡阀芯的双层波纹管截止阀 ( BSA2-BD is twin ply bellows valve with balanced plug),Y,,,,,,,截止阀/BSA2T.md,BSA2T,BSA2T - 法兰 PN16 (BSA2T - flanged PN16),1
BSA2-BD PN16,DN200,"47,718",11372463,截止阀,注： BSA2-BD 是带有平衡阀芯的双层波纹管截止阀 ( BSA2-BD is twin ply bellows valve with balanced plug),Y,,,,,,,截止阀/BSA2T.md,BSA2T,BSA2T - 法兰 PN16 (BSA2T - flanged PN16),1
BSA2T PN25,DN15,"2,031",1841351,截止阀,"注：, PN16 法兰可选。最高压力/温度将会降低 (PN16 flanges is available. Maximum pressure/temperature will reduce), BSA2-BD 带有平衡阀芯 ( BSA2-BD with balanced plug)",Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA2T - 法兰 PN25 (BSA2T - flanged PN25),1
BSA2T PN25,DN20,"2,081",1841451,截止阀,"注：, PN16 法兰可选。最高压力/温度将会降低 (PN16 flanges is available. Maximum pressure/temperature will reduce), BSA2-BD 带有平衡阀芯 ( BSA2-BD with balanced plug)",Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA2T - 法兰 PN25 (BSA2T - flanged PN25),1
BSA2T PN25,DN25,"2,372",1841551,截止阀,"注：, PN16 法兰可选。最高压力/温度将会降低 (PN16 flanges is available. Maximum pressure/temperature will reduce), BSA2-BD 带有平衡阀芯 ( BSA2-BD with balanced plug)",Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA2T - 法兰 PN25 (BSA2T - flanged PN25),1
BSA2T PN25,DN32,"2,787",1841651,截止阀,"注：, PN16 法兰可选。最高压力/温度将会降低 (PN16 flanges is available. Maximum pressure/temperature will reduce), BSA2-BD 带有平衡阀芯 ( BSA2-BD with balanced plug)",Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA2T - 法兰 PN25 (BSA2T - flanged PN25),1
BSA2T PN25,DN40,"3,325",1841751,截止阀,"注：, PN16 法兰可选。最高压力/温度将会降低 (PN16 flanges is available. Maximum pressure/temperature will reduce), BSA2-BD 带有平衡阀芯 ( BSA2-BD with balanced plug)",Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA2T - 法兰 PN25 (BSA2T - flanged PN25),1
BSA2T PN25,DN50,"3,484",1841851,截止阀,"注：, PN16 法兰可选。最高压力/温度将会降低 (PN16 flanges is available. Maximum pressure/temperature will reduce), BSA2-BD 带有平衡阀芯 ( BSA2-BD with balanced plug)",Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA2T - 法兰 PN25 (BSA2T - flanged PN25),1
BSA2T PN25,DN65,"4,083",1841951,截止阀,"注：, PN16 法兰可选。最高压力/温度将会降低 (PN16 flanges is available. Maximum pressure/temperature will reduce), BSA2-BD 带有平衡阀芯 ( BSA2-BD with balanced plug)",Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA2T - 法兰 PN25 (BSA2T - flanged PN25),1
BSA2T PN25,DN80,"5,436",1842051,截止阀,"注：, PN16 法兰可选。最高压力/温度将会降低 (PN16 flanges is available. Maximum pressure/temperature will reduce), BSA2-BD 带有平衡阀芯 ( BSA2-BD with balanced plug)",Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA2T - 法兰 PN25 (BSA2T - flanged PN25),1
BSA2T PN25,DN100,"7,624",1842151,截止阀,"注：, PN16 法兰可选。最高压力/温度将会降低 (PN16 flanges is available. Maximum pressure/temperature will reduce), BSA2-BD 带有平衡阀芯 ( BSA2-BD with balanced plug)",Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA2T - 法兰 PN25 (BSA2T - flanged PN25),1
BSA2T PN25,DN125,"15,449",1842251,截止阀,"注：, PN16 法兰可选。最高压力/温度将会降低 (PN16 flanges is available. Maximum pressure/temperature will reduce), BSA2-BD 带有平衡阀芯 ( BSA2-BD with balanced plug)",Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA2T - 法兰 PN25 (BSA2T - flanged PN25),1
BSA2T PN25,DN150,"19,504",1842351,截止阀,"注：, PN16 法兰可选。最高压力/温度将会降低 (PN16 flanges is available. Maximum pressure/temperature will reduce), BSA2-BD 带有平衡阀芯 ( BSA2-BD with balanced plug)",Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA2T - 法兰 PN25 (BSA2T - flanged PN25),1
BSA2T PN25,DN200,"44,813",1842451,截止阀,"注：, PN16 法兰可选。最高压力/温度将会降低 (PN16 flanges is available. Maximum pressure/temperature will reduce), BSA2-BD 带有平衡阀芯 ( BSA2-BD with balanced plug)",Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA2T - 法兰 PN25 (BSA2T - flanged PN25),1
BSA2-BD PN25,DN150,"22,420",11372367,截止阀,"注：, PN16 法兰可选。最高压力/温度将会降低 (PN16 flanges is available. Maximum pressure/temperature will reduce), BSA2-BD 带有平衡阀芯 ( BSA2-BD with balanced plug)",Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA2T - 法兰 PN25 (BSA2T - flanged PN25),1
BSA2-BD PN25,DN200,"51,540",11372467,截止阀,"注：, PN16 法兰可选。最高压力/温度将会降低 (PN16 flanges is available. Maximum pressure/temperature will reduce), BSA2-BD 带有平衡阀芯 ( BSA2-BD with balanced plug)",Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA2T - 法兰 PN25 (BSA2T - flanged PN25),1
BSA3T PN40,DN15,"2,495",1842600,截止阀,,Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA3T - 法兰 PN40 (BSA3T - flanged PN40),2
BSA3T PN40,DN20,"2,605",1842700,截止阀,,Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA3T - 法兰 PN40 (BSA3T - flanged PN40),2
BSA3T PN40,DN25,"2,850",1842800,截止阀,,Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA3T - 法兰 PN40 (BSA3T - flanged PN40),2
BSA3T PN40,DN32,"3,350",1842900,截止阀,,Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA3T - 法兰 PN40 (BSA3T - flanged PN40),2
BSA3T PN40,DN40,"3,996",1843000,截止阀,,Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA3T - 法兰 PN40 (BSA3T - flanged PN40),2
BSA3T PN40,DN50,"4,230",1843100,截止阀,,Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA3T - 法兰 PN40 (BSA3T - flanged PN40),2
BSA3T PN40,DN65,"5,157",1843200,截止阀,,Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA3T - 法兰 PN40 (BSA3T - flanged PN40),2
BSA3T PN40,DN80,"6,524",1843300,截止阀,,Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA3T - 法兰 PN40 (BSA3T - flanged PN40),2
BSA3T PN40,DN100,"9,832",1843400,截止阀,,Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA3T - 法兰 PN40 (BSA3T - flanged PN40),2
BSA3T PN40,DN125,"20,688",1843500,截止阀,,Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA3T - 法兰 PN40 (BSA3T - flanged PN40),2
BSA3T PN40,DN150,"26,085",1843600,截止阀,,Y,,,,,,,截止阀/BSA2T_PN25_and_BSA3T_PN40.md,BSA2T_PN25_and_BSA3T_PN40,BSA3T - 法兰 PN40 (BSA3T - flanged PN40),2
BSA3-BD PN40,DN200,"53,494",1846399,截止阀,,Y,,,,,,,截止阀/BSA3-BD.md,BSA3-BD,BSA3-BD,1
BSA3-BD PN40,DN250,"87,120",1846499,截止阀,,Y,,,,,,,截止阀/BSA3-BD.md,BSA3-BD,BSA3-BD,1
BSA3-BD PN40,DN300,"114,933",1846599,截止阀,,N,,,,,,,截止阀/BSA3-BD.md,BSA3-BD,BSA3-BD,1
BSA3-BD PN40,DN350,"156,484",1846699,截止阀,,N,,,,,,,截止阀/BSA3-BD.md,BSA3-BD,BSA3-BD,1
BSA3-BD PN40,DN400,"218,667",1846799,截止阀,,N,,,,,,,截止阀/BSA3-BD.md,BSA3-BD,BSA3-BD,1
BSA3-BD PN25,DN200,"53,494",1846396,截止阀,,Y,,,,,,,截止阀/BSA3-BD.md,BSA3-BD,BSA3-BD,1
BSA3-BD PN25,DN250,"87,120",1846496,截止阀,,Y,,,,,,,截止阀/BSA3-BD.md,BSA3-BD,BSA3-BD,1
BSA3-BD PN25,DN300,"114,933",1846596,截止阀,,N,,,,,,,截止阀/BSA3-BD.md,BSA3-BD,BSA3-BD,1
BSA3-BD PN25,DN350,"156,484",1846696,截止阀,,N,,,,,,,截止阀/BSA3-BD.md,BSA3-BD,BSA3-BD,1
BSA3-BD PN25,DN400,"218,667",1846796,截止阀,,N,,,,,,,截止阀/BSA3-BD.md,BSA3-BD,BSA3-BD,1
BSA3-BD PN16,DN200,"53,494",1846392,截止阀,,N,,,,,,,截止阀/BSA3-BD.md,BSA3-BD,BSA3-BD,1
